Nombre,Fecha,4G Health,4G Accessibility,4G Availability,4G Integrity,4G Mobility,4G Resource,4G Retainability
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 13:00",98.37%,99.67%,99.88%,98.00%,95.87%,97.11%,99.67%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 14:00",97.38%,99.65%,99.88%,94.72%,95.89%,94.44%,99.67%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 15:00",98.05%,99.62%,98.61%,97.72%,95.82%,96.89%,99.67%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 16:00",98.18%,98.89%,99.65%,97.94%,95.60%,96.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 17:00",98.22%,99.71%,99.77%,97.33%,95.59%,96.89%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 18:00",98.01%,99.56%,98.84%,97.44%,95.91%,96.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 19:00",97.71%,99.71%,98.84%,96.61%,96.13%,94.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 20:00",97.49%,99.60%,99.65%,97.06%,96.29%,92.33%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 21:00",97.43%,99.07%,98.03%,98.94%,96.28%,92.22%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 22:00",98.69%,99.32%,99.42%,99.00%,96.26%,98.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"2/03/16, 23:00",98.66%,99.40%,98.15%,99.39%,96.70%,98.33%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 00:00",98.64%,99.84%,97.22%,99.11%,97.35%,98.33%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 01:00",98.59%,99.47%,99.31%,96.78%,97.02%,99.00%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 02:00",98.75%,99.79%,98.38%,98.50%,96.75%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 03:00",98.99%,99.91%,99.07%,99.08%,96.78%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 04:00",99.22%,99.78%,99.42%,99.39%,97.60%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 05:00",98.96%,99.82%,99.77%,97.94%,97.09%,99.15%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 06:00",99.22%,99.93%,99.65%,99.67%,97.11%,98.93%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 07:00",98.85%,99.66%,99.88%,99.56%,96.75%,97.22%,100.00%
MobileAccess_4G_1_4G_Access_Site_BELLEVUE,"3/03/16, 08:00",98.52%,99.66%,98.26%,99.33%,96.90%,96.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 13:00",99.02%,99.72%,99.88%,99.17%,96.26%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 14:00",98.51%,99.69%,99.88%,96.06%,96.33%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 15:00",98.73%,99.66%,98.61%,99.00%,96.23%,98.89%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 16:00",98.81%,98.94%,99.65%,99.06%,96.13%,99.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 17:00",98.83%,99.78%,99.77%,98.61%,95.93%,98.89%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 18:00",98.69%,99.58%,98.84%,98.28%,96.24%,99.19%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 19:00",98.57%,99.73%,98.84%,97.50%,96.36%,98.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 20:00",98.71%,99.60%,99.65%,97.94%,96.49%,98.56%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 21:00",98.65%,99.04%,98.03%,99.44%,96.47%,98.89%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 22:00",98.96%,99.31%,99.42%,99.44%,96.49%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"2/03/16, 23:00",98.86%,99.41%,98.15%,99.67%,96.92%,99.00%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 00:00",98.82%,99.83%,97.22%,99.33%,97.43%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 01:00",98.78%,99.48%,99.31%,97.61%,97.16%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 02:00",98.98%,99.78%,98.38%,99.61%,96.98%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 03:00",99.12%,99.91%,99.07%,99.64%,97.00%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 04:00",99.31%,99.80%,99.42%,99.83%,97.70%,99.11%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 05:00",98.99%,99.79%,99.77%,97.89%,97.25%,99.26%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 06:00",99.24%,99.94%,99.65%,99.44%,97.38%,99.04%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 07:00",99.26%,99.74%,99.88%,99.56%,97.18%,99.22%,100.00%
MobileAccess_4G_1_4G_Access_Site_BERNUS,"3/03/16, 08:00",98.96%,99.74%,98.26%,99.50%,97.16%,99.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 13:00",99.19%,99.18%,100.00%,99.50%,99.81%,96.63%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 14:00",99.20%,99.26%,100.00%,99.33%,99.76%,96.85%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 15:00",99.15%,99.53%,99.42%,99.06%,99.80%,97.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 16:00",99.11%,98.87%,100.00%,98.72%,99.79%,97.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 17:00",99.00%,99.41%,99.88%,98.61%,99.71%,96.41%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 18:00",98.72%,99.41%,100.00%,98.72%,99.76%,94.41%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 19:00",99.01%,99.56%,99.07%,98.50%,99.73%,97.19%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 20:00",99.19%,99.64%,100.00%,98.06%,99.82%,97.63%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 21:00",99.04%,99.70%,99.65%,98.22%,99.80%,96.85%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 22:00",99.11%,99.28%,100.00%,97.94%,99.88%,97.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"2/03/16, 23:00",98.77%,99.85%,99.02%,95.83%,99.88%,98.02%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 00:00",98.55%,99.86%,99.07%,94.42%,99.82%,98.13%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 01:00",98.87%,99.92%,100.00%,95.11%,99.92%,98.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 02:00",99.33%,99.87%,99.77%,97.89%,99.94%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 03:00",99.20%,99.79%,99.77%,97.17%,99.93%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 04:00",99.39%,99.94%,100.00%,98.00%,99.88%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 05:00",99.41%,99.75%,100.00%,98.28%,99.91%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 06:00",99.28%,99.84%,100.00%,97.44%,99.89%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 07:00",99.32%,99.92%,100.00%,98.39%,99.77%,97.85%,100.00%
MobileAccess_4G_1_4G_Access_Site_BREGILLE,"3/03/16, 08:00",99.13%,99.40%,98.84%,99.39%,99.81%,97.35%,100.00%
